Unnamed_0,Vendor,Vendor Site Id,Brand,Dcl,Department Id,Class Id,Class Name,Line Id,Line Name,Product ID,Pcode Description,Color,Size,Item,Description,Mfg Code,UPC,Status,Status 300,Site,Site Name,State,Square Footage,Region,Zone,MIL,FLM,DC FLM,Orgs,Cost,Retail,ATG Retail,GM Pct,Last Receipt,Last Sold Date,L30,D30,D60,LW,TTM,Qoh,Supply,Allocated,Intrans,Store Transfer,QTY Reserve,Store PO Qty,Dc Qoh,Dc Avail,DC Staged,DC RV,DC PO QTY,Buyer Name,Planner Code,Private Label,Season Code,Store Size,Rank,Supply In Stock,Avg. WOC,MIL_1,FLM_1,Days,Proj. Demand,Alloc. Rec.,New,Store Flag,SKU Flag,Flag,Final Alloc.,Left DC,Final Supply,Final Cost,% UA,Left DC %,Final In Stock,Demand Check,Helper,Unnamed_79,736,source_sheet,source_file,source_row_number,Store Name,is_allocate,is_review,is_no_alloc,is_eligible,is_site802,is_ak,is_review_pass1_candidate,has_target_final_alloc,row_category,model_segment,4364,4950,4188,3908,9518,3561,3143,1957,1648,target_units,target_positive,target_flms,target_rank_score,target_cut_rec,target_follow_rec,target_one_flm,target_zero_out,target_below_flm_remainder,target_review_pass1_positive,target_review_pass1_rank_score,model_path,pred_prob,rank_score,pred_flms_raw,review_pass1_prob,review_pass1_rank_score,review_pass1_units,Predicted Final Alloc,abs_error
,GIANT SNACKS INC,WAHPETON,Giants,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p268108,Giants Dill Pickle Sunflower Seeds - 3 Servings,,,1764027,GIANTS DILL SEEDS,33555,038093335556,Active,Active,602,Asheville,NC,51466,Mid-Atlantic,9,48,12,12,147,1.54,2.79,2.79,0.45,46173,46173,22,0,0,8,34,38,38,,0,0,0,0,3443,2975,468,0,0,"Branham, Dave Michael",Camp1,,,50K-60K,A,0.9931972789115646,7.410000000000001,48,12,60,24,12,-,Target Inv.,-,Allocate,,2975,38,0,0.3118121790168745,1,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb",433,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,allocate_main_nn,0.4921100437641144,1.9983630180358887,0.5712498426437378,0.0,0.0,0,12,12.0
,GIANT SNACKS INC,WAHPETON,Giants,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p268107,Giants Original Roasted and Salted Sunflower Seeds - 3 Servings,,,1764026,GIANTS ORIGINAL R&S SEEDS,33365,038093332654,Active,Active,145,Fairbanks,AK,47072,Alaska,1,48,12,12,147,1.54,2.99,2.79,0.48,46148,46172,17,0,0,6,21,39,39,,0,0,0,0,2787,2499,288,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A,0.9931972789115646,9.841764705882353,48,12,60,18,12,-,-,-,Allocate,,2499,39,0,0.27030827474310437,1,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb",431,,True,False,False,True,False,True,False,True,Allocate,ak_allocate,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,ak_allocate_nn,0.564910888671875,1.147559404373169,0.506313145160675,0.0,0.0,0,12,12.0
,KENNYS CANDY AND CONFECTIONS INC,PERHAM,Sweet Chaos,1.150.7,1,150,Food & Beverage,7,"Cookies, Chips, Energy Bars",p320417,Sweet Chaos Dill Pickle Popcorn,,,1941165,DILL PICKLE POPCORN,02222400623-8,022224006231,Active,Active,802,Ecommerce,UT,,,,,12,12,147,2.32,2.32,3.99,0,,46136,0,4,11,0,88,0,0,,,,,0,480,444,36,0,0,"Branham, Dave Michael",Camp1,,,Greater than 60K,,0.8571428571428571,,0,12,60,7,12,New,Disaster Prep,-,Allocate,,36,0,0,0.024708304735758406,0.08108108108108109,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb",894,,True,False,False,True,True,False,False,True,Allocate,site802_allocate,,,,,,,,,,0.0,0.0,0.0,0.25,1.0,1.0,0.0,1.0,0.0,0.0,0.0,site802_allocate_nn,0.4102967083454132,0.1965387463569641,0.6481854319572449,0.0,0.0,0,12,12.0
,FERRARA CANDY COMPANY,GOODYEAR,Nerds,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p328981,NERDS RAINBOW GUMMY CLUSTERS,,,1988398,NERDS RAINBOW GUMMY CLUSTERS,08073,079200049065,Active,Active,155,Columbia,SC,63497,Mid-Atlantic,9,72,12,12,147,2.13,3.99,3.99,0.47,46169,46169,17,0,0,7,31,65,65,,0,0,0,0,1343,959,384,0,0,"Branham, Dave Michael",Camp1,,,Greater than 60K,A,0.9931972789115646,16.402941176470588,72,12,60,20,12,-,Large Display,-,Allocate,12,899,77,25.56,0.0852132701421801,0.9374348279457768,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",57,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.39409157633781433,0.6865679621696472,0.9083417654037476,0.0,0.0,0,0,12.0
,FERRARA CANDY COMPANY,GOODYEAR,Nerds,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p328981,NERDS RAINBOW GUMMY CLUSTERS,,,1988398,NERDS RAINBOW GUMMY CLUSTERS,08073,079200049065,Active,Active,233,Rancho Cordova,CA,39156,Northern California,3,72,12,12,147,2.13,3.99,3.99,0.47,46139,46168,7,0,0,2,18,66,66,,0,0,0,0,1343,959,384,0,0,"Branham, Dave Michael",Camp1,,,30K-40K,C,0.9931972789115646,40.44857142857143,72,12,60,7,12,-,Disaster Prep,-,Allocate,12,899,78,25.56,0.0852132701421801,0.9374348279457768,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",58,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.1295749843120575,2.2923810482025146,0.9897110462188721,0.0,0.0,0,0,12.0
,FERRARA CANDY COMPANY,GOODYEAR,Nerds,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p328981,NERDS RAINBOW GUMMY CLUSTERS,,,1988398,NERDS RAINBOW GUMMY CLUSTERS,08073,079200049065,Active,Active,244,Show Low,AZ,26165,Southwest,6,72,12,12,147,2.13,3.99,3.99,0.47,46168,46168,19,0,0,11,30,66,66,,0,0,0,0,1343,959,384,0,0,"Branham, Dave Michael",Camp1,,,20K-30K,C,0.9931972789115646,14.902105263157896,72,12,60,27,12,-,-,-,Allocate,12,899,78,25.56,0.0852132701421801,0.9374348279457768,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",59,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.29570552706718445,2.064471483230591,0.8172204494476318,0.0,0.0,0,0,12.0
,FERRARA CANDY COMPANY,GOODYEAR,Nerds,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p328981,NERDS RAINBOW GUMMY CLUSTERS,,,1988398,NERDS RAINBOW GUMMY CLUSTERS,08073,079200049065,Active,Active,197,Brentwood,CA,28220,Northern California,3,72,12,12,147,2.13,3.99,3.99,0.47,46141,46169,10,0,0,4,18,66,66,,0,0,0,0,1343,959,384,0,0,"Branham, Dave Michael",Camp1,,,20K-30K,C,0.9931972789115646,28.314,72,12,60,11,12,-,-,-,Allocate,12,899,78,25.56,0.0852132701421801,0.9374348279457768,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",60,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.2970544397830963,1.237001895904541,0.9116528034210205,0.0,0.0,0,0,12.0
,FERRARA CANDY COMPANY,GOODYEAR,Nerds,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p328980,NERDS VERY BERRY GUMMY CLUSTERS,,,1988399,NERDS VERY BERRY GUMMY CLUSTERS,06067,079200060671,Active,Active,208,Vancouver,WA,48704,Pacific North West,2,72,12,12,148,2.13,3.99,3.99,0.47,46160,46168,17,0,0,5,30,66,66,,0,0,0,0,1044,552,492,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A,0.9931972789115646,16.65529411764706,72,12,60,16,12,-,-,-,Allocate,12,456,78,25.56,0.04460966542750929,0.8260869565217391,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",62,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.17183667421340942,-0.05956076830625534,0.6130620241165161,0.0,0.0,0,0,12.0
,FERRARA CANDY COMPANY,GOODYEAR,Nerds,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p328980,NERDS VERY BERRY GUMMY CLUSTERS,,,1988399,NERDS VERY BERRY GUMMY CLUSTERS,06067,079200060671,Active,Active,239,Flagstaff,AZ,30525,Southwest,6,72,12,12,148,2.13,3.99,3.99,0.47,46144,46169,31,0,0,12,65,54,66,,12,0,0,0,1044,552,492,0,0,"Branham, Dave Michael",Camp1,,,30K-40K,B,0.9931972789115646,9.133548387096774,72,12,60,35,12,-,Target Inv.,-,Allocate,12,456,78,25.56,0.04460966542750929,0.8260869565217391,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",63,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.27886947989463806,1.6558135747909546,0.8280755281448364,0.0,0.0,0,0,12.0
,FERRARA CANDY COMPANY,GOODYEAR,Nerds,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p328980,NERDS VERY BERRY GUMMY CLUSTERS,,,1988399,NERDS VERY BERRY GUMMY CLUSTERS,06067,079200060671,Active,Active,204,Portland,OR,48698,Pacific North West,2,72,12,12,148,2.13,3.99,3.99,0.47,46153,46169,29,0,0,9,54,66,66,,0,0,0,0,1044,552,492,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,B,0.9931972789115646,9.76344827586207,72,12,60,29,12,-,-,-,Allocate,12,456,78,25.56,0.04460966542750929,0.8260869565217391,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",64,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.24896539747714996,0.40415453910827637,0.812568724155426,0.0,0.0,0,0,12.0
,GIANT SNACKS INC,WAHPETON,Giants,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p268107,Giants Original Roasted and Salted Sunflower Seeds - 3 Servings,,,1764026,GIANTS ORIGINAL R&S SEEDS,33365,038093332654,Active,Active,248,Juneau,AK,27852,Alaska,1,48,12,12,147,1.54,2.99,2.79,0.48,46158,46167,6,0,0,2,6,42,42,,0,0,0,0,2859,2799,60,0,0,"Branham, Dave Michael",Camp1,,,20K-30K,C,0.9931972789115646,30.03,48,12,60,6,12,-,-,-,Allocate,,2787,42,0,0.29526432884839493,0.9957127545551983,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 132, 150 - 5.26.2026.xlsb",284,,True,False,False,True,False,True,False,True,Allocate,ak_allocate,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,ak_allocate_nn,0.29247865080833435,1.518230676651001,0.6702011227607727,0.0,0.0,0,12,12.0
,FERRARA CANDY COMPANY,GOODYEAR,Nerds,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p328980,NERDS VERY BERRY GUMMY CLUSTERS,,,1988399,NERDS VERY BERRY GUMMY CLUSTERS,06067,079200060671,Active,Active,220,Traverse City,MI,0,Great Lakes,7,72,12,12,148,2.13,3.99,3.99,0.47,46168,46169,22,0,0,9,43,64,64,,0,0,0,0,1044,552,492,0,0,"Branham, Dave Michael",Camp1,,,30K-40K,C,0.9931972789115646,12.48,72,12,60,26,12,-,-,-,Allocate,12,456,76,25.56,0.04460966542750929,0.8260869565217391,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",66,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.370835542678833,2.4908382892608643,0.8093013167381287,0.0,0.0,0,0,12.0
,FERRARA CANDY COMPANY,GOODYEAR,Nerds,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p328980,NERDS VERY BERRY GUMMY CLUSTERS,,,1988399,NERDS VERY BERRY GUMMY CLUSTERS,06067,079200060671,Active,Active,218,Bellingham,WA,20074,Pacific North West,2,72,12,12,148,2.13,3.99,3.99,0.47,46141,46169,11,0,0,3,18,66,66,,0,0,0,0,1044,552,492,0,0,"Branham, Dave Michael",Camp1,,,20K-30K,D,0.9931972789115646,25.740000000000002,72,12,60,10,12,-,-,-,Allocate,12,456,78,25.56,0.04460966542750929,0.8260869565217391,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",67,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.27801528573036194,1.9936342239379883,0.901494026184082,0.0,0.0,0,0,12.0
,BEER NUTS INC,BLOOMINGTON,Beer Nuts,1.150.7,1,150,Food & Beverage,7,"Cookies, Chips, Energy Bars",p303246,Beer Nuts Original Peanuts Beer Bottle Bag - 1.75oz,,,1868548,ORIG. PEANUTS BEER BOTTLE DISPLAY,0-70842-00265-0,070842001657,Active,Active,802,Ecommerce,UT,,,,0,12,12,148,1.01,1.01,1.99,0,,46082,0,24,24,0,42,0,0,,,,,0,211,103,108,0,0,"Branham, Dave Michael",Camp1,,,Greater than 60K,,0.9931972789115646,,0,12,60,16,12,New,Disaster Prep,-,Allocate,,24,0,0,0.013921113689095127,0.23300970873786409,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 132, 150 - 5.26.2026.xlsb",11,,True,False,False,True,True,False,False,True,Allocate,site802_allocate,,,,,,,,,,0.0,0.0,0.0,0.25,1.0,1.0,0.0,1.0,0.0,0.0,0.0,site802_allocate_nn,0.6473037004470825,0.4124187231063843,0.7011383771896362,0.0,0.0,0,12,12.0
,FERRARA CANDY COMPANY,GOODYEAR,Nerds,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p328980,NERDS VERY BERRY GUMMY CLUSTERS,,,1988399,NERDS VERY BERRY GUMMY CLUSTERS,06067,079200060671,Active,Active,180,Morgantown,WV,30429,Midwest,8,72,12,12,148,2.13,3.99,3.99,0.47,46146,46169,7,0,0,5,18,65,65,,0,0,0,0,1044,552,492,0,0,"Branham, Dave Michael",Camp1,,,30K-40K,D,0.9931972789115646,39.83571428571428,72,12,60,12,12,-,-,-,Allocate,12,456,77,25.56,0.04460966542750929,0.8260869565217391,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",68,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.33381959795951843,2.089031934738159,0.9448870420455933,0.0,0.0,0,0,12.0
,FERRARA CANDY COMPANY,GOODYEAR,Nerds,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p328980,NERDS VERY BERRY GUMMY CLUSTERS,,,1988399,NERDS VERY BERRY GUMMY CLUSTERS,06067,079200060671,Active,Active,276,Moreno Valley,CA,20305,Southern California,4,72,12,12,148,2.13,3.99,3.99,0.47,46142,46169,15,0,0,9,20,64,64,,0,0,0,0,1044,552,492,0,0,"Branham, Dave Michael",Camp1,,,20K-30K,E,0.9931972789115646,18.304,72,12,60,22,12,-,-,-,Allocate,12,456,76,25.56,0.04460966542750929,0.8260869565217391,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",69,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.2441340982913971,0.4025253653526306,0.21377941966056824,0.0,0.0,0,0,12.0
,GIANT SNACKS INC,WAHPETON,Giants,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p268107,Giants Original Roasted and Salted Sunflower Seeds - 3 Servings,,,1764026,GIANTS ORIGINAL R&S SEEDS,33365,038093332654,Active,Active,207,Kennewick,WA,45860,Pacific North West,2,48,12,12,147,1.54,2.79,2.79,0.45,46141,46168,11,0,0,3,18,42,42,,0,0,0,0,2847,2619,228,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A,0.9931972789115646,16.380000000000003,48,12,60,10,12,-,-,-,Allocate,12,2523,54,18.48,0.26851851851851855,0.9633447880870561,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",72,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.47292813658714294,1.887569546699524,0.47382381558418274,0.0,0.0,0,0,12.0
,GIANT SNACKS INC,WAHPETON,Giants,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p268107,Giants Original Roasted and Salted Sunflower Seeds - 3 Servings,,,1764026,GIANTS ORIGINAL R&S SEEDS,33365,038093332654,Active,Active,132,Tucson,AZ,48170,Southwest,6,48,12,12,147,1.54,2.79,2.79,0.45,46145,46169,13,0,0,1,30,42,42,,0,0,0,0,2847,2619,228,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A,0.9931972789115646,13.86,48,12,60,8,12,-,-,-,Allocate,12,2523,54,18.48,0.26851851851851855,0.9633447880870561,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",73,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.4075568914413452,2.0695672035217285,1.012691617012024,0.0,0.0,0,0,12.0
,GIANT SNACKS INC,WAHPETON,Giants,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p268107,Giants Original Roasted and Salted Sunflower Seeds - 3 Servings,,,1764026,GIANTS ORIGINAL R&S SEEDS,33365,038093332654,Active,Active,218,Bellingham,WA,20074,Pacific North West,2,48,12,12,147,1.54,2.79,2.79,0.45,46141,46165,5,0,0,2,6,42,42,,0,0,0,0,2847,2619,228,0,0,"Branham, Dave Michael",Camp1,,,20K-30K,D,0.9931972789115646,36.036,48,12,60,6,12,-,-,-,Allocate,12,2523,54,18.48,0.26851851851851855,0.9633447880870561,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",78,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.46258974075317383,2.4271457195281982,0.6284247636795044,0.0,0.0,0,0,12.0
,POP DADDY POPCORN LLC,TMR,Pop Daddy Snacks,1.150.7,1,150,Food & Beverage,7,"Cookies, Chips, Energy Bars",p320656,Pop Daddy Seasoned Pretzels,,,1942438,POP DADDY GARLIC PARMESAN PRETZELS,10-8-55206-00518-5,855206005188,Active,Active,249,Roseburg,OR,39988,Pacific North West,2,4,12,12,147,2.46,4.99,4.99,0.51,46135,46169,9,10,24,3,117,3,15,12,0,0,0,0,839,59,780,0,0,"Branham, Dave Michael",Camp1,,,30K-40K,C,0.9795918367346939,7.15,4,12,60,21,12,-,Disaster Prep,-,Review,12,0,27,29.52,0,0,0.9863945578231292,,,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",756,,False,True,False,True,False,False,False,True,Review,review,,,,,,,,,,12.0,1.0,1.0,2.8806471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,review_two_pass_none,0.14601010084152222,0.8070023059844971,0.8891836404800415,1.0,109224.7421875,0,0,12.0
,GIANT SNACKS INC,WAHPETON,Giants,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p268107,Giants Original Roasted and Salted Sunflower Seeds - 3 Servings,,,1764026,GIANTS ORIGINAL R&S SEEDS,33365,038093332654,Active,Active,237,Spokane,WA,36491,Pacific North West,2,48,12,12,147,1.54,2.79,2.79,0.45,46145,46166,7,0,0,3,7,41,41,,0,0,0,0,2859,2799,60,0,0,"Branham, Dave Michael",Camp1,,,30K-40K,D,0.9931972789115646,25.127142857142857,48,12,60,8,12,-,-,-,Allocate,,2787,41,0,0.29526432884839493,0.9957127545551983,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 132, 150 - 5.26.2026.xlsb",285,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,allocate_main_nn,0.5602841377258301,1.9412827491760254,0.6599878072738647,0.0,0.0,0,12,12.0
,OLD TRAPPER SMOKED PRODT INC,FOREST GROVE,Old Trapper,1.150.2,1,150,Food & Beverage,2,Jerky,p37794,Old Trapper Beef Jerky,,,1285126,OT BEEF JRKY OLD FASH 10OZ,22112T,079694221121,Active,Active,205,Salem,OR,46719,Pacific North West,2,4,12,12,147,11.65,19.99,19.99,0.42,46139,46165,12,20,44,3,240,0,24,,24,0,0,0,540,228,312,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A,0.9863945578231292,8.58,4,12,60,35,12,-,-,-,Review,12,0,36,139.8,0,0,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 132, 150 - 5.26.2026.xlsb",2026,,False,True,False,True,False,False,False,True,Review,review,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,review_two_pass_none,0.22346380352973938,0.9918478727340698,0.967186450958252,1.0,61517.3671875,0,0,12.0
,JUST BORN INC,NDF,Hot Tamales,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p302772,Hot Tamales Fierce Cinnamon Candy - 4.25oz,,,1866183,HOT TAMALES FIERCE CINNAMON BOX 4.25OZ,00070970495311,070970475313,Active,Active,190,Sheridan WY,WY,16380,Rocky Mountain,5,2,12,12,148,0.91,1.99,1.99,0.54,46167,46174,15,7,12,6,95,8,8,,0,0,0,0,240,72,168,0,0,"Branham, Dave Michael",Camp1,,,Less than 20K,D,0.9863945578231292,2.288,2,12,60,25,12,-,-,-,Review,12,12,20,10.92,0.005434782608695652,0.16666666666666666,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 6.4.2026.xlsb",836,,False,True,False,True,False,False,False,True,Review,review,,,,,,,,,,12.0,1.0,1.0,3.026480513893279,0.0,1.0,1.0,0.0,0.0,0.0,0.0,review_two_pass_none,0.07758542150259018,2.5680973529815674,1.0220346450805664,1.0,61314.71875,0,0,12.0
,WORTHINGTON CYLINDER CORP,COLUMBUS,Coleman,1.134.1,1,134,Fuel,1,Propane,p214588,Coleman Propane Fuel Bottle,Green,,100001,SINGLE BOTTLE PROPANE,332418,014045324182,Active,Active,206,Bend,OR,48171,Pacific North West,2,48,12,20160,147,5.35,6.99,6.99,0.23,46163,46167,270,337,704,67,3040,144,588,444,0,0,0,0,26916,23688,3228,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A+,1,9.342666666666668,48,12,60,600,12,-,-,Disaster Prep,Allocate,12,21776,600,64.19999999999999,0.3334762633996937,0.9192840256670044,1,,,,,3.3 Working Table,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",502,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.9999592304229736,2.3069007396698,2.0494813919067383,0.0,0.0,0,24,12.0
,GIANT SNACKS INC,WAHPETON,Giants,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p268108,Giants Dill Pickle Sunflower Seeds - 3 Servings,,,1764027,GIANTS DILL SEEDS,33555,038093335556,Active,Active,224,Nampa,ID,48704,Rocky Mountain,5,48,12,12,147,1.54,2.99,2.79,0.48,46165,46174,20,0,0,7,42,42,42,,0,0,0,0,3323,2975,348,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,B,0.9931972789115646,9.009,48,12,60,21,12,-,-,-,Allocate,12,2771,54,18.48,0.29307244843997887,0.9314285714285714,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 6.4.2026.xlsb",207,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,12.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.7241610288619995,1.6085699796676636,0.1833585500717163,0.0,0.0,0,0,12.0
,WORTHINGTON CYLINDER CORP,COLUMBUS,Coleman,1.134.1,1,134,Fuel,1,Propane,p214588,Coleman Propane Fuel Bottle,Green,,100001,SINGLE BOTTLE PROPANE,332418,014045324182,Active,Active,184,Eureka,CA,27996,Northern California,3,48,12,20160,147,5.35,6.99,6.99,0.23,46084,46166,88,117,251,31,900,149,185,12,24,0,0,0,26916,23688,3228,0,0,"Branham, Dave Michael",Camp1,,,20K-30K,B,1,9.01875,48,12,60,215,36,-,-,Disaster Prep,Allocate,36,21776,221,192.6,0.3334762633996937,0.9192840256670044,1,,,,,3.3 Working Table,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",495,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,36.0,1.0,3.0,3.386294361119891,0.0,1.0,0.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.9999914169311523,3.143803358078003,2.0817654132843018,0.0,0.0,0,24,12.0
