Unnamed_0,Vendor,Vendor Site Id,Brand,Dcl,Department Id,Class Id,Class Name,Line Id,Line Name,Product ID,Pcode Description,Color,Size,Item,Description,Mfg Code,UPC,Status,Status 300,Site,Site Name,State,Square Footage,Region,Zone,MIL,FLM,DC FLM,Orgs,Cost,Retail,ATG Retail,GM Pct,Last Receipt,Last Sold Date,L30,D30,D60,LW,TTM,Qoh,Supply,Allocated,Intrans,Store Transfer,QTY Reserve,Store PO Qty,Dc Qoh,Dc Avail,DC Staged,DC RV,DC PO QTY,Buyer Name,Planner Code,Private Label,Season Code,Store Size,Rank,Supply In Stock,Avg. WOC,MIL_1,FLM_1,Days,Proj. Demand,Alloc. Rec.,New,Store Flag,SKU Flag,Flag,Final Alloc.,Left DC,Final Supply,Final Cost,% UA,Left DC %,Final In Stock,Demand Check,Helper,Unnamed_79,736,source_sheet,source_file,source_row_number,Store Name,is_allocate,is_review,is_no_alloc,is_eligible,is_site802,is_ak,is_review_pass1_candidate,has_target_final_alloc,row_category,model_segment,4364,4950,4188,3908,9518,3561,3143,1957,1648,target_units,target_positive,target_flms,target_rank_score,target_cut_rec,target_follow_rec,target_one_flm,target_zero_out,target_below_flm_remainder,target_review_pass1_positive,target_review_pass1_rank_score,model_path,pred_prob,rank_score,pred_flms_raw,review_pass1_prob,review_pass1_rank_score,review_pass1_units,Predicted Final Alloc,abs_error
,WORTHINGTON CYLINDER CORP,COLUMBUS,Coleman,1.134.1,1,134,Fuel,1,Propane,p214588,Coleman Propane Fuel Bottle,Green,,100001,SINGLE BOTTLE PROPANE,332418,014045324182,Active,Active,222,Las Vegas,NV,55452,Southwest,6,600,12,20160,147,5.35,6.99,6.99,0.23,46044,46167,93,168,265,36,1470,351,579,228,0,0,0,0,26916,23688,3228,0,0,"Branham, Dave Michael",Camp1,,,50K-60K,B,1,26.708709677419357,600,12,60,268,24,-,Disaster Prep,Disaster Prep,Allocate,24,21776,603,128.39999999999998,0.3334762633996937,0.9192840256670044,1,,Review Final Supply - Existing Stock May Be Enough,,,3.3 Working Table,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",497,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,24.0,1.0,2.0,3.09861228866811,0.0,1.0,0.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.4152213931083679,3.317519187927246,1.9069781303405762,0.0,0.0,0,0,24.0
,SMOKEY MTN CHEW INC,DARIEN,Smokey Mountain,1.150.6,1,150,Food & Beverage,6,Smokeless Tobacco,p273065,Smokey Mountain Herbal Pouches - Spearmint,,,1778319,SMKY MTN SPEARMINT POUCHES,1790,087273017805,Active,Active,239,Flagstaff,AZ,30525,Southwest,6,4,10,10,147,2.95,4.99,4.99,0.41,46144,46167,11,10,10,8,99,1,1,,0,0,0,0,283,123,160,0,0,"Branham, Dave Michael",Camp1,,,30K-40K,B,0.9931972789115646,0.39,4,10,60,27,30,-,Target Inv.,-,Allocate,30,23,31,88.5,0.011511511511511512,0.18699186991869918,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 132, 150 - 5.26.2026.xlsb",1256,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,30.0,1.0,3.0,4.86129436111989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.9999796152114868,4.04020357131958,1.3442986011505127,0.0,0.0,0,10,20.0
,WESTFIELD OUTDOORS INC,INDIANAPOLIS,Sportsman's Warehouse,1.127.1,1,127,Camp Furniture,1,Stools/Chairs,p270158,Sportsman's Warehouse Ground Seat,Blue,One Size,1770747,SW GROUND SEAT BLUE,HB9-110B,844093014441,Active,Phaseout,802,Ecommerce,UT,,,,,2,2,146,5.96,5.96,19.99,0,,46164,1,57,71,1,85,19,19,,,,,0,783,485,298,0,1542,"Branham, Dave Michael",Camp1,,,Greater than 60K,,1,81.51,0,2,60,42,24,New,Disaster Prep,-,Allocate,24,447,43,143.04,0.21944035346097202,0.9216494845360824,1,,,,,3.3 Working Table,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",398,,True,False,False,True,True,False,False,True,Allocate,site802_allocate,,,,,,,,,,24.0,1.0,12.0,7.064949357461536,0.0,1.0,0.0,0.0,0.0,0.0,0.0,site802_allocate_nn,0.8814663887023926,5.50732946395874,2.3050596714019775,0.0,0.0,0,4,20.0
,SMOKEY MTN CHEW INC,DARIEN,,1.150.6,1,150,Food & Beverage,6,Smokeless Tobacco,p60784,Smokey Mountain Grape Loose Snuff,,,1514659,SMOKEY MTN GRAPE SNUFF,01503,087273015016,Active,Active,225,Farmington,NM,30130,Southwest,6,4,10,90,147,2.95,4.99,4.99,0.41,46159,46164,41,18,18,20,187,0,20,20,0,0,0,0,370,310,60,0,0,"Branham, Dave Michael",Camp1,,,30K-40K,B,0.9931972789115646,2.0926829268292684,4,10,60,68,50,-,-,-,Allocate,40,200,60,118,0.1145475372279496,0.6451612903225806,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 132, 150 - 5.26.2026.xlsb",1242,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,40.0,1.0,4.0,5.3594379124341005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.9999113082885742,5.219528675079346,1.6894450187683105,0.0,0.0,0,20,20.0
,PEARSON CANDY CO,ST PAUL MN,Pearson's,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p305029,Pearson's King Size Original Nut Roll - 3 Servings,,,1801071,PEARSON KING SZ NUT ROLL 2/$4,51400,077290514005,Active,Active,612,North Charleston,SC,50302,Mid-Atlantic,9,288,18,144,148,1.17,2,2,0.42,46164,46169,88,6,69,27,720,258,276,18,0,0,0,0,7448,1634,5814,0,0,"Branham, Dave Michael",Camp1,,,50K-60K,C,0.9931972789115646,13.455000000000002,288,18,60,122,18,-,Disaster Prep,-,Allocate,18,1562,294,21.06,0.032980722535419435,0.95593635250918,0.9931972789115646,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 5.28.2026.xlsb",436,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,18.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.3365984261035919,1.5838366746902466,0.9552323222160339,0.0,0.0,0,0,18.0
,PEARSON CANDY CO,ST PAUL MN,Pearson's,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p305029,Pearson's King Size Original Nut Roll - 3 Servings,,,1801071,PEARSON KING SZ NUT ROLL 2/$4,51400,077290514005,Active,Active,213,Puyallup,WA,52007,Pacific North West,2,288,18,144,148,1.17,2,2,0.42,46157,46166,103,15,21,26,720,258,258,,0,0,0,0,7646,6674,972,0,0,"Branham, Dave Michael",Camp1,,,50K-60K,C,0.9931972789115646,10.745825242718448,288,18,60,120,36,-,-,-,Allocate,36,5360,294,42.12,0.11176213015283888,0.8031165717710519,0.9931972789115646,,Review Final Supply - Existing Stock May Be Enough,,,3.3 Working Table,"Daily Allocation - 132, 150 - 5.26.2026.xlsb",1131,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,36.0,1.0,2.0,3.09861228866811,0.0,1.0,0.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.9193645715713501,3.5088703632354736,1.439393162727356,0.0,0.0,0,18,18.0
,PEARSON CANDY CO,ST PAUL MN,Pearson's,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p305029,Pearson's King Size Original Nut Roll - 3 Servings,,,1801071,PEARSON KING SZ NUT ROLL 2/$4,51400,077290514005,Active,Active,802,Ecommerce,UT,,,,144,18,144,148,1.17,1.17,2,0,,46135,0,0,0,0,13,0,0,,,,,0,5922,1314,4608,0,0,"Branham, Dave Michael",Camp1,,,Greater than 60K,,0.9931972789115646,,144,18,60,0,144,New,Disaster Prep,-,Allocate,,1296,0,0,0.028208867509740332,0.9863013698630136,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb",1023,,True,False,False,True,True,False,False,True,Allocate,site802_allocate,,,,,,,,,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,site802_allocate_nn,0.011780896224081516,2.3620481491088867,0.8163229823112488,0.0,0.0,0,18,18.0
,PEARSON CANDY CO,ST PAUL MN,Pearson's,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p305029,Pearson's King Size Original Nut Roll - 3 Servings,,,1801071,PEARSON KING SZ NUT ROLL 2/$4,51400,077290514005,Active,Active,802,Ecommerce,UT,,,,144,18,144,148,1.17,1.17,2,0,,46135,0,0,0,0,13,0,0,,,,,0,3438,1296,2142,0,24480,"Branham, Dave Michael",Camp1,,,Greater than 60K,,0.9931972789115646,,144,18,60,0,144,New,Disaster Prep,-,Allocate,,1152,0,0,0.025508170585890794,0.8888888888888888,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 132, 143, 150 - 6.4.2026.xlsb",458,,True,False,False,True,True,False,False,True,Allocate,site802_allocate,,,,,,,,,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,site802_allocate_nn,0.011751116253435612,2.36184024810791,0.816638171672821,0.0,0.0,0,18,18.0
,PEARSON CANDY CO,ST PAUL MN,Pearson's,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p305029,Pearson's King Size Original Nut Roll - 3 Servings,,,1801071,PEARSON KING SZ NUT ROLL 2/$4,51400,077290514005,Active,Active,212,Soldotna,AK,49870,Alaska,1,288,18,144,148,1.17,2,2,0.42,46163,46167,295,33,51,97,1585,281,281,,0,0,0,0,7646,6674,972,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A,0.9931972789115646,4.086406779661017,288,18,60,361,72,-,Large Display,-,Allocate,72,5360,353,84.24,0.11176213015283888,0.8031165717710519,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 132, 150 - 5.26.2026.xlsb",1122,,True,False,False,True,False,True,False,True,Allocate,ak_allocate,,,,,,,,,,72.0,1.0,4.0,3.6094379124341005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ak_allocate_nn,0.9999935626983643,3.1797239780426025,5.493168830871582,0.0,0.0,0,90,18.0
,PEARSON CANDY CO,ST PAUL MN,Pearson's,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p305029,Pearson's King Size Original Nut Roll - 3 Servings,,,1801071,PEARSON KING SZ NUT ROLL 2/$4,51400,077290514005,Active,Active,209,Silverdale,WA,46488,Pacific North West,2,288,18,144,148,1.17,2,2,0.42,46164,46166,142,24,50,44,746,222,240,,18,0,0,0,7646,6674,972,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,C,0.9931972789115646,7.250704225352114,288,18,60,177,54,-,-,-,Allocate,54,5360,294,63.17999999999999,0.11176213015283888,0.8031165717710519,0.9931972789115646,,,,,3.3 Working Table,"Daily Allocation - 132, 150 - 5.26.2026.xlsb",1124,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,54.0,1.0,3.0,3.386294361119891,0.0,1.0,0.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.9657244682312012,3.5642683506011963,2.435713052749634,0.0,0.0,0,36,18.0
