segment,rows,mae_units,rmse_units,exact_rate,within_1_flm_rate,false_positives,false_negatives,pred_units,actual_units,unit_delta,negative_violations,over_dc_violations,group_col,group_value
Site=247,170,0.17647058823529413,1.1114378604524227,0.9529411764705882,0.9941176470588236,1,3,791.0,815.0,-24.0,0,0,Site,247
Site=248,231,0.37662337662337664,2.259180405345289,0.922077922077922,0.9913419913419913,2,4,1099.0,1038.0,61.0,0,0,Site,248
Site=249,164,0.6280487804878049,3.2110707886554133,0.9329268292682927,0.9939024390243902,0,10,354.0,453.0,-99.0,0,0,Site,249
Site=250,100,0.11,0.8306623862918074,0.97,1.0,0,2,118.0,129.0,-11.0,0,0,Site,250
Site=251,149,0.06040268456375839,0.3172871584851762,0.959731543624161,1.0,1,3,455.0,462.0,-7.0,0,0,Site,251
Site=252,99,0.13131313131313133,1.2102257907706582,0.9797979797979798,1.0,0,2,262.0,275.0,-13.0,0,0,Site,252
Site=253,125,0.072,0.4472135954999579,0.968,1.0,0,2,473.0,482.0,-9.0,0,0,Site,253
Site=254,59,0.05084745762711865,0.291111254869791,0.9661016949152542,0.9830508474576272,0,0,90.0,93.0,-3.0,0,0,Site,254
Site=255,142,0.035211267605633804,0.25175440748900674,0.9788732394366197,1.0,0,2,443.0,448.0,-5.0,0,0,Site,255
Site=256,120,0.008333333333333333,0.09128709291752768,0.9916666666666667,1.0,0,1,243.0,244.0,-1.0,0,0,Site,256
Site=257,98,0.01020408163265306,0.10101525445522107,0.9897959183673469,1.0,0,0,250.0,251.0,-1.0,0,0,Site,257
Site=258,117,0.017094017094017096,0.18490006540840973,0.9914529914529915,1.0,0,1,372.0,374.0,-2.0,0,0,Site,258
Site=259,103,0.30097087378640774,1.5672621604606072,0.941747572815534,0.970873786407767,0,2,328.0,353.0,-25.0,0,0,Site,259
Site=260,71,0.4507042253521127,2.572881324480232,0.9436619718309859,1.0,1,3,112.0,142.0,-30.0,0,0,Site,260
Site=261,63,0.015873015873015872,0.12598815766974242,0.9841269841269841,1.0,0,0,237.0,238.0,-1.0,0,0,Site,261
Site=262,30,0.0,0.0,1.0,1.0,0,0,74.0,74.0,0.0,0,0,Site,262
Site=263,141,0.425531914893617,2.100320813049877,0.9361702127659575,0.9929078014184397,1,4,460.0,476.0,-16.0,0,0,Site,263
Site=264,108,0.24074074074074073,1.758576865704935,0.9259259259259259,0.9907407407407407,0,2,218.0,236.0,-18.0,0,0,Site,264
Site=265,73,0.2876712328767123,1.5919317118967338,0.9452054794520548,1.0,1,2,105.0,120.0,-15.0,0,0,Site,265
Site=266,106,0.0660377358490566,0.590810124975516,0.9811320754716981,1.0,1,1,341.0,336.0,5.0,0,0,Site,266
Site=267,72,0.08333333333333333,0.37267799624996495,0.9444444444444444,1.0,0,1,298.0,296.0,2.0,0,0,Site,267
Site=268,110,0.08181818181818182,0.6105139414683933,0.9727272727272728,1.0,0,1,243.0,250.0,-7.0,0,0,Site,268
Site=269,96,0.125,0.75,0.9583333333333334,1.0,1,1,286.0,286.0,0.0,0,0,Site,269
Site=270,72,0.041666666666666664,0.26352313834736496,0.9722222222222222,1.0,0,1,137.0,140.0,-3.0,0,0,Site,270
Site=271,128,0.1953125,1.5026019100214134,0.9765625,1.0,0,2,384.0,407.0,-23.0,0,0,Site,271
Site=272,82,0.04878048780487805,0.2705008904002297,0.9634146341463414,1.0,0,0,92.0,92.0,0.0,0,0,Site,272
Site=273,59,0.01694915254237288,0.13018891098082386,0.9830508474576272,1.0,0,0,147.0,146.0,1.0,0,0,Site,273
Site=274,106,0.14150943396226415,0.9163092499311758,0.9716981132075472,1.0,1,2,253.0,260.0,-7.0,0,0,Site,274
Site=275,48,0.08333333333333333,0.3535533905932738,0.9375,1.0,0,3,44.0,48.0,-4.0,0,0,Site,275
Site=276,67,0.26865671641791045,1.5928946709797924,0.9552238805970149,1.0,1,2,150.0,166.0,-16.0,0,0,Site,276
Site=277,88,0.045454545454545456,0.26111648393354675,0.9659090909090909,1.0,0,0,198.0,200.0,-2.0,0,0,Site,277
Site=278,64,0.109375,0.45069390943299864,0.9375,0.984375,0,3,95.0,100.0,-5.0,0,0,Site,278
Site=279,126,0.015873015873015872,0.12598815766974242,0.9841269841269841,1.0,1,0,437.0,435.0,2.0,0,0,Site,279
Site=280,100,0.34,1.6552945357246849,0.94,1.0,0,6,231.0,265.0,-34.0,0,0,Site,280
Site=281,63,0.20634920634920634,1.5170983163879992,0.9682539682539683,1.0,1,1,129.0,140.0,-11.0,0,0,Site,281
Site=282,32,0.0,0.0,1.0,1.0,0,0,27.0,27.0,0.0,0,0,Site,282
Site=283,73,0.0273972602739726,0.1655211777204736,0.9726027397260274,1.0,0,0,157.0,157.0,0.0,0,0,Site,283
Site=284,77,0.19480519480519481,0.8296455196719189,0.922077922077922,1.0,1,3,171.0,182.0,-11.0,0,0,Site,284
Site=287,60,0.3333333333333333,1.0488088481701516,0.85,0.9666666666666667,2,2,177.0,189.0,-12.0,0,0,Site,287
Site=601,79,0.012658227848101266,0.1125087900926024,0.9873417721518988,1.0,0,0,161.0,160.0,1.0,0,0,Site,601
Site=602,199,0.35175879396984927,1.9516775415346288,0.9597989949748744,0.9899497487437185,2,3,808.0,806.0,2.0,0,0,Site,602
Site=603,119,0.05042016806722689,0.3175536744149779,0.9747899159663865,1.0,0,1,389.0,395.0,-6.0,0,0,Site,603
Site=604,111,0.2072072072072072,1.2769614836128107,0.954954954954955,1.0,0,4,289.0,310.0,-21.0,0,0,Site,604
Site=605,130,0.05384615384615385,0.2908872369413698,0.9615384615384616,1.0,0,1,345.0,348.0,-3.0,0,0,Site,605
Site=606,112,0.16071428571428573,1.2320134507614529,0.9732142857142857,1.0,0,3,218.0,236.0,-18.0,0,0,Site,606
Site=607,118,0.13559322033898305,0.676481425202546,0.9491525423728814,1.0,0,3,356.0,372.0,-16.0,0,0,Site,607
Site=608,117,0.07692307692307693,0.5310850045437944,0.9743589743589743,1.0,1,2,233.0,238.0,-5.0,0,0,Site,608
Site=609,96,0.0,0.0,1.0,1.0,0,0,216.0,216.0,0.0,0,0,Site,609
Site=610,161,0.17391304347826086,1.1742580583405164,0.9565217391304348,1.0,0,4,433.0,455.0,-22.0,0,0,Site,610
Site=611,147,0.08843537414965986,0.5654448612875199,0.9591836734693877,1.0,1,4,420.0,421.0,-1.0,0,0,Site,611
Site=612,134,0.373134328358209,2.1054300797926113,0.9402985074626866,0.9776119402985075,0,3,374.0,408.0,-34.0,0,0,Site,612
Site=802,497,1.8189134808853118,10.93772384076785,0.6901408450704225,0.9215291750503019,55,51,693.0,967.0,-274.0,0,0,Site,802
Class Name=Accessories,1388,0.21469740634005763,1.8888417993414592,0.9553314121037464,0.9992795389048992,7,32,4801.0,4873.0,-72.0,0,0,Class Name,Accessories
Class Name=Air Beds/Mattresses,239,0.11297071129707113,0.5601852652299533,0.9497907949790795,1.0,2,1,894.0,889.0,5.0,0,0,Class Name,Air Beds/Mattresses
Class Name=Camp Furniture,839,0.25744934445768775,1.9116355346046718,0.9153754469606674,0.9821215733015495,12,6,1963.0,2033.0,-70.0,0,0,Class Name,Camp Furniture
Class Name=Canopies,290,0.2206896551724138,0.7878385971583354,0.8517241379310345,0.9758620689655172,8,7,601.0,609.0,-8.0,0,0,Class Name,Canopies
Class Name=Climbing Accessories,281,0.028469750889679714,0.33745963248767824,0.9928825622775801,1.0,1,1,881.0,881.0,0.0,0,0,Class Name,Climbing Accessories
Class Name=Cooking,837,0.10991636798088411,0.9678215817483969,0.961768219832736,0.998805256869773,3,22,1942.0,1954.0,-12.0,0,0,Class Name,Cooking
Class Name=Coolers,234,0.021367521367521368,0.23570226039551584,0.9914529914529915,1.0,0,1,59.0,64.0,-5.0,0,0,Class Name,Coolers
Class Name=Cots,349,0.0830945558739255,0.4510414564266491,0.9455587392550143,0.9856733524355301,3,1,757.0,760.0,-3.0,0,0,Class Name,Cots
Class Name=First Aid,459,0.06753812636165578,0.3645512357486102,0.9651416122004357,0.9978213507625272,4,8,796.0,803.0,-7.0,0,0,Class Name,First Aid
Class Name=Food & Beverage,3563,0.6867808026943587,3.208316095636474,0.9295537468425484,0.9988773505472917,45,168,24037.0,25272.0,-1235.0,0,0,Class Name,Food & Beverage
Class Name=Food Preperation Appliances,2732,0.191800878477306,0.9874764856254807,0.928623718887262,0.9853587115666179,29,64,6360.0,6404.0,-44.0,0,0,Class Name,Food Preperation Appliances
Class Name=Fuel,456,0.9846491228070176,10.850761958854285,0.9517543859649122,0.993421052631579,0,9,2476.0,2781.0,-305.0,0,0,Class Name,Fuel
Class Name=Hard Sided Coolers,269,0.048327137546468404,0.2198343411445728,0.9516728624535316,1.0,0,6,170.0,179.0,-9.0,0,0,Class Name,Hard Sided Coolers
Class Name=Hydration,1219,0.04922067268252666,0.33646329245522655,0.9696472518457753,0.9967186218211649,2,17,1262.0,1290.0,-28.0,0,0,Class Name,Hydration
Class Name=Insulated Bottles,219,0.0639269406392694,0.4681645887845222,0.9680365296803652,0.9908675799086758,1,0,1018.0,1020.0,-2.0,0,0,Class Name,Insulated Bottles
Class Name=Lanterns,410,0.09024390243902439,0.8009141118959925,0.9780487804878049,0.9951219512195122,0,6,481.0,504.0,-23.0,0,0,Class Name,Lanterns
Class Name=Lighting Products,1345,0.08475836431226766,0.45463331357713593,0.9598513011152416,0.9985130111524163,6,32,1866.0,1942.0,-76.0,0,0,Class Name,Lighting Products
Class Name=Miscellaneous,623,0.11075441412520064,0.6810906181827533,0.956661316211878,0.9887640449438202,3,8,1056.0,1103.0,-47.0,0,0,Class Name,Miscellaneous
Class Name=Outdoor Games,5,0.2,0.4472135954999579,0.8,1.0,0,0,27.0,26.0,1.0,0,0,Class Name,Outdoor Games
Class Name=Porta Potty,347,0.1585014409221902,1.1375184072361875,0.968299711815562,0.9913544668587896,3,4,1738.0,1755.0,-17.0,0,0,Class Name,Porta Potty
Class Name=Propane Accessories,149,0.013422818791946308,0.11585688927269845,0.9865771812080537,1.0,0,1,110.0,112.0,-2.0,0,0,Class Name,Propane Accessories
Class Name=Pumps,98,0.08163265306122448,0.45175395145262565,0.9489795918367347,0.9897959183673469,0,0,254.0,250.0,4.0,0,0,Class Name,Pumps
Class Name=Stoves,938,0.06396588486140725,0.3751332385900987,0.9562899786780383,0.9914712153518124,5,15,729.0,773.0,-44.0,0,0,Class Name,Stoves
Class Name=Sunglasses,1043,0.059443911792905084,0.31879446938497946,0.9616490891658677,1.0,1,31,343.0,391.0,-48.0,0,0,Class Name,Sunglasses
Class Name=Toys,589,0.11714770797962648,0.8230548917531015,0.9762308998302207,1.0,0,14,519.0,588.0,-69.0,0,0,Class Name,Toys
Class Name=Water Treatment,313,0.1182108626198083,0.699155126830807,0.9616613418530351,1.0,2,8,661.0,688.0,-27.0,0,0,Class Name,Water Treatment
Line Name=35QT and Below,97,0.05154639175257732,0.2270383045932499,0.9484536082474226,1.0,0,2,70.0,71.0,-1.0,0,0,Line Name,35QT and Below
Line Name=36-59QT,51,0.0392156862745098,0.19802950859533486,0.9607843137254902,1.0,0,2,22.0,24.0,-2.0,0,0,Line Name,36-59QT
Line Name=60-100QT,75,0.02666666666666667,0.16329931618554522,0.9733333333333334,1.0,0,0,42.0,44.0,-2.0,0,0,Line Name,60-100QT
Line Name=ACC,30,0.03333333333333333,0.18257418583505536,0.9666666666666667,1.0,0,1,24.0,25.0,-1.0,0,0,Line Name,ACC
Line Name=Acc,42,0.07142857142857142,0.4629100498862757,0.9761904761904762,1.0,0,1,36.0,39.0,-3.0,0,0,Line Name,Acc
Line Name=Accessories,1253,0.07581803671189145,0.703996118396032,0.9800478850758181,0.9968076616121309,4,12,1602.0,1645.0,-43.0,0,0,Line Name,Accessories
Line Name=Air Beds,228,0.11842105263157894,0.5735393346764044,0.9473684210526315,1.0,2,1,828.0,823.0,5.0,0,0,Line Name,Air Beds
Line Name=Air Mattresses,11,0.0,0.0,1.0,1.0,0,0,66.0,66.0,0.0,0,0,Line Name,Air Mattresses
Line Name=Axes,20,0.1,0.4472135954999579,0.95,1.0,0,0,36.0,34.0,2.0,0,0,Line Name,Axes
Line Name=Backpacking,24,0.08333333333333333,0.28867513459481287,0.9166666666666666,1.0,1,0,35.0,35.0,0.0,0,0,Line Name,Backpacking
Line Name=Bear Pepper Sprays,185,0.16216216216216217,0.7710996009560598,0.9297297297297298,0.9783783783783784,1,4,545.0,567.0,-22.0,0,0,Line Name,Bear Pepper Sprays
Line Name=Bulk Tanks,7,0.0,0.0,1.0,1.0,0,0,16.0,16.0,0.0,0,0,Line Name,Bulk Tanks
Line Name=Butane,31,8.129032258064516,40.54467866122428,0.9354838709677419,0.967741935483871,0,0,608.0,804.0,-196.0,0,0,Line Name,Butane
Line Name=Camp Accessories,405,0.3851851851851852,3.0012343139794013,0.9555555555555556,1.0,3,13,1550.0,1562.0,-12.0,0,0,Line Name,Camp Accessories
Line Name=Camp Showers,21,0.38095238095238093,0.8728715609439694,0.8095238095238095,1.0,1,2,40.0,44.0,-4.0,0,0,Line Name,Camp Showers
Line Name=Candy/Snacks,1645,1.0522796352583588,4.278951097220114,0.9118541033434651,1.0,28,97,13770.0,14525.0,-755.0,0,0,Line Name,Candy/Snacks
Line Name=Carry Bags - Covers,317,0.03470031545741325,0.21752841650548027,0.9716088328075709,0.9936908517350158,0,4,83.0,88.0,-5.0,0,0,Line Name,Carry Bags - Covers
Line Name=Cast Iron,178,0.0898876404494382,0.423999152002544,0.949438202247191,1.0,0,8,207.0,221.0,-14.0,0,0,Line Name,Cast Iron
"Line Name=Cookies, Chips, Energy Bars",418,0.35645933014354064,1.9849915333723236,0.9617224880382775,1.0,2,11,2870.0,2963.0,-93.0,0,0,Line Name,"Cookies, Chips, Energy Bars"
Line Name=Cooking Tables,206,0.05825242718446602,0.38161638848608825,0.970873786407767,0.9951456310679612,1,3,451.0,453.0,-2.0,0,0,Line Name,Cooking Tables
Line Name=Cups,70,0.0,0.0,1.0,1.0,0,0,147.0,147.0,0.0,0,0,Line Name,Cups
Line Name=Cutlery,106,0.2641509433962264,2.3472183456730544,0.9716981132075472,0.9905660377358491,0,2,232.0,212.0,20.0,0,0,Line Name,Cutlery
Line Name=Dehydrators,254,0.16535433070866143,0.554153962516942,0.8779527559055118,0.9763779527559056,7,18,53.0,67.0,-14.0,0,0,Line Name,Dehydrators
Line Name=ERROR2,56,0.017857142857142856,0.1336306209562122,0.9821428571428571,1.0,0,0,13.0,12.0,1.0,0,0,Line Name,ERROR2
Line Name=Easy Set-Up,217,0.25806451612903225,0.8798826901281197,0.8294930875576036,0.9723502304147466,5,5,484.0,492.0,-8.0,0,0,Line Name,Easy Set-Up
Line Name=Electric,196,0.061224489795918366,0.3642156795423418,0.9591836734693877,0.9948979591836735,0,1,430.0,428.0,2.0,0,0,Line Name,Electric
Line Name=Family,100,0.08,0.31622776601683794,0.93,0.99,3,2,105.0,107.0,-2.0,0,0,Line Name,Family
Line Name=Fashion $100+,253,0.05138339920948617,0.259217429756041,0.9565217391304348,1.0,0,6,56.0,61.0,-5.0,0,0,Line Name,Fashion $100+
Line Name=Firepits/Tables/Grids,47,0.2978723404255319,0.9675588936937934,0.8723404255319149,0.9361702127659575,0,0,128.0,142.0,-14.0,0,0,Line Name,Firepits/Tables/Grids
Line Name=First Aid Kits,176,0.0625,0.3454246398538787,0.9659090909090909,0.9943181818181818,1,3,135.0,138.0,-3.0,0,0,Line Name,First Aid Kits
Line Name=First Aid Supplies,74,0.13513513513513514,0.5198752449100363,0.9324324324324325,1.0,2,2,180.0,178.0,2.0,0,0,Line Name,First Aid Supplies
Line Name=Flashlight LED,112,0.21428571428571427,0.6546536707079771,0.8928571428571429,1.0,4,7,258.0,266.0,-8.0,0,0,Line Name,Flashlight LED
Line Name=Flashlights LED $20-$39.99,55,0.05454545454545454,0.30151134457776363,0.9636363636363636,1.0,0,1,129.0,132.0,-3.0,0,0,Line Name,Flashlights LED $20-$39.99
Line Name=Flashlights LED $40-$59.99,28,0.07142857142857142,0.2672612419124244,0.9285714285714286,1.0,0,0,59.0,59.0,0.0,0,0,Line Name,Flashlights LED $40-$59.99
Line Name=Flashlights LED Rechargable,267,0.04868913857677903,0.30599503068105227,0.9737827715355806,1.0,2,1,417.0,422.0,-5.0,0,0,Line Name,Flashlights LED Rechargable
Line Name=Fuel,263,0.011406844106463879,0.13788185828493343,0.9923954372623575,0.9961977186311787,0,2,71.0,74.0,-3.0,0,0,Line Name,Fuel
Line Name=Fuel/Accessories,38,0.05263157894736842,0.22941573387056177,0.9473684210526315,1.0,0,1,102.0,104.0,-2.0,0,0,Line Name,Fuel/Accessories
Line Name=Griddles,134,0.04477611940298507,0.24433888871261045,0.9626865671641791,0.9925373134328358,0,0,232.0,238.0,-6.0,0,0,Line Name,Griddles
Line Name=Guns and Accessories,373,0.00804289544235925,0.08968219133339266,0.9919571045576407,1.0,0,3,27.0,30.0,-3.0,0,0,Line Name,Guns and Accessories
Line Name=Hammocks,78,0.1282051282051282,0.3922322702763681,0.8846153846153846,0.9871794871794872,2,1,139.0,133.0,6.0,0,0,Line Name,Hammocks
Line Name=Hand Pump,6,0.0,0.0,1.0,1.0,0,0,18.0,18.0,0.0,0,0,Line Name,Hand Pump
Line Name=Handheld Spotlight,28,0.07142857142857142,0.2672612419124244,0.9285714285714286,1.0,0,0,36.0,38.0,-2.0,0,0,Line Name,Handheld Spotlight
Line Name=Hat Clip Lights,10,0.0,0.0,1.0,1.0,0,0,40.0,40.0,0.0,0,0,Line Name,Hat Clip Lights
Line Name=HeadLamps LED $20-$39.99,107,0.11214953271028037,0.611417840515743,0.9626168224299065,0.9813084112149533,0,0,336.0,340.0,-4.0,0,0,Line Name,HeadLamps LED $20-$39.99
Line Name=HeadLamps LED $40-$59.99,15,0.0,0.0,1.0,1.0,0,0,12.0,12.0,0.0,0,0,Line Name,HeadLamps LED $40-$59.99
Line Name=HeadLamps LED $60+,8,0.0,0.0,1.0,1.0,0,0,10.0,10.0,0.0,0,0,Line Name,HeadLamps LED $60+
Line Name=HeadLamps LED Rechargable,575,0.07652173913043478,0.3912077175374606,0.9617391304347827,1.0,0,20,530.0,570.0,-40.0,0,0,Line Name,HeadLamps LED Rechargable
Line Name=Hoses,49,0.02040816326530612,0.14285714285714285,0.9795918367346939,1.0,0,0,84.0,85.0,-1.0,0,0,Line Name,Hoses
Line Name=Hydration Packs,200,0.13,0.4,0.885,0.985,1,10,301.0,307.0,-6.0,0,0,Line Name,Hydration Packs
Line Name=Jerky,681,0.3876651982378855,1.8702399195900492,0.947136563876652,1.0,4,31,3472.0,3686.0,-214.0,0,0,Line Name,Jerky
Line Name=Jerky Making Accessories,24,0.0,0.0,1.0,1.0,0,0,37.0,37.0,0.0,0,0,Line Name,Jerky Making Accessories
Line Name=Kids,39,0.05128205128205128,0.32025630761017426,0.9743589743589743,1.0,0,1,2.0,4.0,-2.0,0,0,Line Name,Kids
Line Name=Lighters,123,0.0,0.0,1.0,1.0,0,0,1.0,1.0,0.0,0,0,Line Name,Lighters
Line Name=Meat Grinders,34,0.058823529411764705,0.24253562503633297,0.9411764705882353,1.0,0,0,55.0,57.0,-2.0,0,0,Line Name,Meat Grinders
Line Name=Mess Kits,65,0.09230769230769231,0.3038218101251,0.9076923076923077,1.0,0,4,64.0,70.0,-6.0,0,0,Line Name,Mess Kits
Line Name=Military,132,0.14393939393939395,0.6685579234215214,0.9242424242424242,0.9696969696969697,1,0,340.0,349.0,-9.0,0,0,Line Name,Military
Line Name=Misc,886,0.09706546275395034,0.749717779858305,0.9774266365688488,0.9988713318284425,2,17,1328.0,1388.0,-60.0,0,0,Line Name,Misc
Line Name=Misc Accessories,270,0.06296296296296296,0.4260064336151292,0.9740740740740741,1.0,1,3,930.0,933.0,-3.0,0,0,Line Name,Misc Accessories
Line Name=Misc Camp Furniture,21,0.09523809523809523,0.3086066999241838,0.9047619047619048,1.0,2,0,28.0,26.0,2.0,0,0,Line Name,Misc Camp Furniture
Line Name=Misc Canopies,65,0.09230769230769231,0.3922322702763681,0.9384615384615385,0.9846153846153847,3,0,112.0,110.0,2.0,0,0,Line Name,Misc Canopies
Line Name=Misc Climbing Accessories,281,0.028469750889679714,0.33745963248767824,0.9928825622775801,1.0,1,1,881.0,881.0,0.0,0,0,Line Name,Misc Climbing Accessories
Line Name=Misc Food & Beverage,540,0.21666666666666667,1.0619688214715994,0.9518518518518518,0.9962962962962963,7,11,3079.0,3108.0,-29.0,0,0,Line Name,Misc Food & Beverage
Line Name=Misc Food Prep Appliances,154,0.08441558441558442,0.3692744729379982,0.9415584415584416,1.0,0,5,158.0,161.0,-3.0,0,0,Line Name,Misc Food Prep Appliances
Line Name=Misc Insulated Bottles,219,0.0639269406392694,0.4681645887845222,0.9680365296803652,0.9908675799086758,1,0,1018.0,1020.0,-2.0,0,0,Line Name,Misc Insulated Bottles
Line Name=Misc Lighting Products,104,0.038461538461538464,0.3922322702763681,0.9903846153846154,1.0,0,1,35.0,39.0,-4.0,0,0,Line Name,Misc Lighting Products
