segment,rows,mae_units,rmse_units,exact_rate,within_1_flm_rate,false_positives,false_negatives,pred_units,actual_units,unit_delta,negative_violations,over_dc_violations,group_col,group_value
Line Name=Wood Chips & Chunks,1177,0.24808836023789294,1.1724680777628798,0.9116397621070518,0.9804587935429057,15,29,2637.0,2651.0,-14.0,0,0,Line Name,Wood Chips & Chunks
Line Name=Wood Pellets,133,0.45112781954887216,1.8516401995451028,0.9097744360902256,0.9849624060150376,1,1,856.0,836.0,20.0,0,0,Line Name,Wood Pellets
raw_dc_bucket=DC_RAW_1001_2000,1180,0.5711864406779661,2.9750373876015606,0.9127118644067796,0.976271186440678,9,17,9076.0,9126.0,-50.0,0,0,raw_dc_bucket,DC_RAW_1001_2000
raw_dc_bucket=DC_RAW_101_300,4166,0.15506481036965913,1.0126421238776155,0.9546327412385982,0.9973595775324052,26,79,13449.0,13757.0,-308.0,0,0,raw_dc_bucket,DC_RAW_101_300
raw_dc_bucket=DC_RAW_1_25,5489,0.1062124248496994,0.7487160321832583,0.9604663873200947,0.9992712698123519,30,159,1743.0,2134.0,-391.0,0,0,raw_dc_bucket,DC_RAW_1_25
raw_dc_bucket=DC_RAW_2000_PLUS,541,2.299445471349353,11.56880885236146,0.8410351201478743,0.9926062846580407,17,38,6978.0,7422.0,-444.0,0,0,raw_dc_bucket,DC_RAW_2000_PLUS
raw_dc_bucket=DC_RAW_26_50,1560,0.13012820512820514,0.9082951062292475,0.9634615384615385,0.9980769230769231,5,36,1835.0,1992.0,-157.0,0,0,raw_dc_bucket,DC_RAW_26_50
raw_dc_bucket=DC_RAW_301_600,2145,0.2456876456876457,1.5259984694197202,0.9431235431235431,0.9864801864801864,18,35,10685.0,10906.0,-221.0,0,0,raw_dc_bucket,DC_RAW_301_600
raw_dc_bucket=DC_RAW_51_100,2458,0.12082994304312449,0.7619404801965065,0.9528071602929211,0.9951179820992677,14,63,3779.0,3994.0,-215.0,0,0,raw_dc_bucket,DC_RAW_51_100
raw_dc_bucket=DC_RAW_601_1000,1695,0.3640117994100295,1.9799883793348094,0.9351032448377581,0.9911504424778761,18,35,8256.0,8613.0,-357.0,0,0,raw_dc_bucket,DC_RAW_601_1000
flm_dc_bucket=DC_13_24_FLM,1754,0.17103762827822122,1.5635529519409872,0.9663625997719498,1.0,7,41,4923.0,5047.0,-124.0,0,0,flm_dc_bucket,DC_13_24_FLM
flm_dc_bucket=DC_1_FLM,1812,0.11092715231788079,0.8892912077025895,0.9718543046357616,1.0,6,41,357.0,538.0,-181.0,0,0,flm_dc_bucket,DC_1_FLM
flm_dc_bucket=DC_25_PLUS_FLM,11606,0.3114768223332759,2.849898190586569,0.9402895054282268,0.9912976046872307,99,237,45840.0,47243.0,-1403.0,0,0,flm_dc_bucket,DC_25_PLUS_FLM
flm_dc_bucket=DC_2_3_FLM,1001,0.17482517482517482,1.1277093028472682,0.9500499500499501,1.0,4,38,659.0,802.0,-143.0,0,0,flm_dc_bucket,DC_2_3_FLM
flm_dc_bucket=DC_4_6_FLM,1259,0.15250198570293885,1.0083054619936653,0.9579030976965845,0.9992057188244639,3,42,1259.0,1409.0,-150.0,0,0,flm_dc_bucket,DC_4_6_FLM
flm_dc_bucket=DC_7_12_FLM,1396,0.14111747851002865,1.0032183169201065,0.9555873925501432,0.997134670487106,4,45,2599.0,2724.0,-125.0,0,0,flm_dc_bucket,DC_7_12_FLM
flm_dc_bucket=DC_LT_1_FLM,406,0.2733990147783251,1.2267542982905681,0.9211822660098522,1.0,14,18,164.0,181.0,-17.0,0,0,flm_dc_bucket,DC_LT_1_FLM
