top_k,base_positive_rate,topk_positive_rate,lift,rows
1,0.5548507850681086,1.0,1.8022863568215892,120
3,0.5548507850681086,0.9803370786516854,1.7668481419402657,356
5,0.5548507850681086,0.969439728353141,1.7472079961716935,589
10,0.5548507850681086,0.9537521815008726,1.7189345445078508,1146
20,0.5548507850681086,0.9164764947512551,1.65175308283786,2191
