component,accuracy,precision,recall,f1,tp,tn,fp,fn,brier,rank_corr,rows,mae,rmse,bias
review_pass1_classifier,0.19107142857142856,0.06884306987399771,0.9600638977635783,0.1284737067122702,601.0,1325.0,8129.0,25.0,0.774842841153175,,,,,
review_pass1_ranker,,,,,,,,,,-0.19037534759867153,10080.0,,,
allocate_classifier,0.9520428228097007,0.967938021454112,0.979495838861416,0.9736826329356754,8121.0,594.0,269.0,170.0,0.03498308131446198,,,,,
allocate_ranker,,,,,,,,,,0.9278591118048057,9154.0,,,
allocate_neural_sizer,,,,,,,,,,,9154.0,0.12876216772770507,0.31215909158001726,85.040766059421
review_classifier,0.9379960317460317,0.8607230895645028,0.8798824023519529,0.8701973001038422,2095.0,7360.0,339.0,286.0,0.046547161586972016,,,,,
review_ranker,,,,,,,,,,0.9574425735522056,10080.0,,,
review_neural_sizer,,,,,,,,,,,10080.0,0.04375087716825806,0.138255563497437,17.416857632591082
